"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:13 GMT 2022","4616","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:09 GMT 2022","207","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"failed","Wed Jul 27 08:44:37 GMT 2022","Wed Jul 27 08:52:30 GMT 2022","473764","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:14 GMT 2022","5753","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:12 GMT 2022","3500","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:17 GMT 2022","8712","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:38 GMT 2022","29814","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:26:24 GMT 2022","375605","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:44 GMT 2022","35383","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:14 GMT 2022","5053","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:09 GMT 2022","235","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:16 GMT 2022","7545","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:13 GMT 2022","4486","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:11 GMT 2022","2268","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:26:23 GMT 2022","374590","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:23:16 GMT 2022","187059","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:09 GMT 2022","215","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:13 GMT 2022","4710","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:14 GMT 2022","5713","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:16 GMT 2022","7634","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:13 GMT 2022","4744","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Wed Jul 27 08:44:37 GMT 2022","Wed Jul 27 08:45:01 GMT 2022","24211","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:26:30 GMT 2022","381543","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:17 GMT 2022","8353","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:14 GMT 2022","5517","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Wed Jul 27 08:20:09 GMT 2022","Wed Jul 27 08:20:13 GMT 2022","4619","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
