"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","919","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:47 GMT 2022","11394","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should remove successfully while Deleting Slice after removing the applicationNamespace in namespaceIsolationProfile part in slice configs",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","886","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:44 GMT 2022","8973","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","606","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while creating namespaces with same name in both allowedNamespace and applicationNamespace",""
"failed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:29:16 GMT 2022","340979","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:47 GMT 2022","11192","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"failed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:27:20 GMT 2022","224633","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router running on attached cluster",""
"failed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:28:06 GMT 2022","270307","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","445","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:38 GMT 2022","2988","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","642","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Mon Nov 07 17:12:59 GMT 2022","Mon Nov 07 17:12:59 GMT 2022","212","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Mon Nov 07 17:12:59 GMT 2022","Mon Nov 07 17:16:08 GMT 2022","189072","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"failed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:26:36 GMT 2022","180560","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"failed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:29:29 GMT 2022","353402","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"passed","Mon Nov 07 17:12:59 GMT 2022","Mon Nov 07 17:13:25 GMT 2022","26955","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:37 GMT 2022","1652","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should reconcile low qos slice",""
"skipped","Mon Nov 07 17:23:36 GMT 2022","Mon Nov 07 17:23:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
