"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","774","","Worker Suite","","Worker Suite","","[It] Slice validation Slice with MEDIUM QOS should have vl3 router running",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"passed","Fri Jul 29 14:47:31 GMT 2022","Fri Jul 29 14:49:42 GMT 2022","131127","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"skipped","Fri Jul 29 14:47:31 GMT 2022","Fri Jul 29 14:47:31 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","203","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard remove label from app ns",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:46 GMT 2022","10730","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Delete deboarded app ns gets deleted",""
"skipped","Fri Jul 29 15:00:36 GMT 2022","Fri Jul 29 15:00:36 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"passed","Fri Jul 29 14:47:31 GMT 2022","Fri Jul 29 14:47:40 GMT 2022","9700","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
