"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 06:23:41 GMT 2022","Thu Aug 18 06:23:41 GMT 2022","273","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:28:52 GMT 2022","134846","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"failed","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:43:40 GMT 2022","180406","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:42 GMT 2022","4691","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:40 GMT 2022","2937","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:29:46 GMT 2022","188699","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:40:40 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:28:53 GMT 2022","135414","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:45 GMT 2022","7748","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:46 GMT 2022","8384","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:40:40 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:43:40 GMT 2022","180473","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:41 GMT 2022","3635","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:40:40 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:46 GMT 2022","8801","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:42 GMT 2022","4906","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:28:49 GMT 2022","131344","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Aug 18 06:26:38 GMT 2022","Thu Aug 18 06:26:42 GMT 2022","4886","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Thu Aug 18 06:40:40 GMT 2022","Thu Aug 18 06:40:40 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
