"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4627","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"failed","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:29:20 GMT 2022","180434","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:13:04 GMT 2022","13953","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:29:20 GMT 2022","180294","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:15:04 GMT 2022","133998","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4568","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:56 GMT 2022","5653","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:58 GMT 2022","7515","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:51 GMT 2022","178","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:10:32 GMT 2022","253","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:59 GMT 2022","8249","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:13:26 GMT 2022","35627","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4974","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:10:33 GMT 2022","1491","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:51 GMT 2022","204","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"failed","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:29:45 GMT 2022","205795","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:51 GMT 2022","205","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:56 GMT 2022","5690","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"skipped","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:51 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"broken","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:53:09 GMT 2022","1609857","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"skipped","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:51 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:29:32 GMT 2022","192227","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4679","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4132","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4470","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4527","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:11:19 GMT 2022","47299","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:15:10 GMT 2022","139198","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:14:17 GMT 2022","86787","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:56 GMT 2022","5373","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"failed","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:29:20 GMT 2022","180315","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:58 GMT 2022","7484","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:53 GMT 2022","2256","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:11:59 GMT 2022","87025","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:15:54 GMT 2022","183958","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:10:34 GMT 2022","2146","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"skipped","Thu Aug 18 15:26:20 GMT 2022","Thu Aug 18 15:26:20 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:58 GMT 2022","7573","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:12:55 GMT 2022","4359","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:10:32 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 15:12:51 GMT 2022","Thu Aug 18 15:15:00 GMT 2022","129182","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Aug 18 15:10:32 GMT 2022","Thu Aug 18 15:10:32 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
