"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:49:57 GMT 2022","136152","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Wed Aug 24 14:45:11 GMT 2022","Wed Aug 24 14:45:11 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:49:51 GMT 2022","130696","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"skipped","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:41 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"broken","Wed Aug 24 15:01:23 GMT 2022","Wed Aug 24 15:26:28 GMT 2022","1505171","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:45 GMT 2022","4979","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:49 GMT 2022","8338","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:48 GMT 2022","7858","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"failed","Wed Aug 24 15:01:23 GMT 2022","Wed Aug 24 15:04:54 GMT 2022","211551","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:49:09 GMT 2022","88402","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"skipped","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:41 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:45 GMT 2022","4773","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Wed Aug 24 14:47:41 GMT 2022","Wed Aug 24 14:47:41 GMT 2022","369","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"skipped","Wed Aug 24 15:01:23 GMT 2022","Wed Aug 24 15:01:23 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
