"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:03 GMT 2022","180589","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"passed","Mon Sep 19 11:21:11 GMT 2022","Mon Sep 19 11:27:17 GMT 2022","366102","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:46 GMT 2022","223007","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"failed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:39 GMT 2022","216286","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:04 GMT 2022","7951","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:01 GMT 2022","4895","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:43:08 GMT 2022","311764","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:35:18 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:02 GMT 2022","5249","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:49 GMT 2022","226638","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:43:12 GMT 2022","315884","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:36:22 GMT 2022","64533","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:01 GMT 2022","4569","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:37:57 GMT 2022","360","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:57 GMT 2022","60830","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:35:18 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:02 GMT 2022","5106","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:05 GMT 2022","8049","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:41:09 GMT 2022","192397","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:05 GMT 2022","8611","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:35:20 GMT 2022","2161","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:36:46 GMT 2022","88206","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:07 GMT 2022","10997","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:43:07 GMT 2022","310632","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:03 GMT 2022","180627","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"failed","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:04:03 GMT 2022","180688","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:02 GMT 2022","5137","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:05 GMT 2022","8777","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:02 GMT 2022","5207","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Mon Sep 19 11:21:11 GMT 2022","Mon Sep 19 11:21:11 GMT 2022","533","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:37:57 GMT 2022","299","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:03 GMT 2022","6187","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:35:18 GMT 2022","296","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"skipped","Mon Sep 19 11:01:03 GMT 2022","Mon Sep 19 11:01:03 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:00 GMT 2022","3375","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:39:35 GMT 2022","98912","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:02 GMT 2022","5313","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:38:01 GMT 2022","4965","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Mon Sep 19 10:35:18 GMT 2022","Mon Sep 19 10:35:21 GMT 2022","3958","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Mon Sep 19 10:37:57 GMT 2022","Mon Sep 19 10:37:57 GMT 2022","343","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
