"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:46:13 GMT 2022","215527","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"failed","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:46:10 GMT 2022","212923","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:08 GMT 2022","5046","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Tue Sep 27 03:02:32 GMT 2022","Tue Sep 27 03:08:37 GMT 2022","365149","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:25:13 GMT 2022","310370","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Tue Sep 27 02:17:29 GMT 2022","Tue Sep 27 02:17:29 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:07 GMT 2022","4782","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:09 GMT 2022","6038","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Tue Sep 27 02:17:29 GMT 2022","Tue Sep 27 02:17:31 GMT 2022","2737","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:03 GMT 2022","342","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:23:11 GMT 2022","188982","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:07 GMT 2022","4565","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:03 GMT 2022","307","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:11 GMT 2022","8745","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:07 GMT 2022","4980","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:20:05 GMT 2022","2977","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:25:18 GMT 2022","315600","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:25:13 GMT 2022","310529","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"skipped","Tue Sep 27 02:42:38 GMT 2022","Tue Sep 27 02:42:38 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Tue Sep 27 02:17:29 GMT 2022","Tue Sep 27 02:17:29 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Tue Sep 27 02:20:03 GMT 2022","Tue Sep 27 02:21:25 GMT 2022","82890","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Tue Sep 27 03:02:32 GMT 2022","Tue Sep 27 03:02:32 GMT 2022","453","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
