"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","681","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying clusters in namespaceisolationprofile with * and a cluster name in both applicationNamespace and allowedNamespace",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should verify iperf connectivity",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate daemonsets with labels and annotations with nsm sidecars injected",""
"passed","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:25:32 GMT 2022","88970","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","348","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","533","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"skipped","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:02 GMT 2022","1139","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:02 GMT 2022","1177","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"failed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:30:03 GMT 2022","122034","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Should have application namespaces created",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:31:06 GMT 2022","185985","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:04 GMT 2022","3730","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:23 GMT 2022","22104","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"skipped","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:04 GMT 2022","3135","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Application namespaces should be isolated",""
"failed","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:25:05 GMT 2022","61635","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should create all application namespaces",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Check bandwidth ceiling",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","617","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Iperf traffic",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate pods with labels and annotations with nsm sidecars injected",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","308","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard slice get detached from app ns in cluster objects",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Should restart nsm-manager pod",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","622","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","7","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router running on attached cluster",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","4","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"failed","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:25:04 GMT 2022","60765","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should create & label app ns with kubeslice label",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","939","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:15 GMT 2022","11857","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should have vl3 router running",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","412","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","13","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:03 GMT 2022","2371","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:33 GMT 2022","32655","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"skipped","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should have vl3 router running",""
"skipped","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:01 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"failed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:31:02 GMT 2022","181007","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"passed","Tue Dec 20 03:28:01 GMT 2022","Tue Dec 20 03:28:02 GMT 2022","1043","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice name",""
"skipped","Tue Dec 20 03:24:04 GMT 2022","Tue Dec 20 03:24:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
