"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:08:07 GMT 2022","11152","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deboarded app ns gets deleted",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","11","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","988","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:10:41 GMT 2022","165390","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:09:26 GMT 2022","90392","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:57 GMT 2022","1503","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard label app ns on workers",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:08:01 GMT 2022","5356","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have slices on workers",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:57 GMT 2022","1361","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Iperf traffic",""
"skipped","Tue Dec 20 11:03:33 GMT 2022","Tue Dec 20 11:03:33 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should have vl3 router running",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:58 GMT 2022","2146","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"passed","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","276","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from deployments",""
"skipped","Tue Dec 20 11:07:56 GMT 2022","Tue Dec 20 11:07:56 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from statefulsets",""
