"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:21 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:25 GMT 2022","4080","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:40 GMT 2022","19845","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:21 GMT 2022","392","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:41 GMT 2022","20477","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:21 GMT 2022","123","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"skipped","Tue Oct 25 05:08:04 GMT 2022","Tue Oct 25 05:08:04 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:25 GMT 2022","4726","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:22 GMT 2022","1116","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"skipped","Tue Oct 25 05:10:21 GMT 2022","Tue Oct 25 05:10:21 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
