"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 07:53:30 GMT 2022","Thu Jul 28 07:53:53 GMT 2022","23663","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:00 GMT 2022","5015","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"failed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:02 GMT 2022","7526","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"failed","Thu Jul 28 07:53:30 GMT 2022","Thu Jul 28 07:57:14 GMT 2022","224794","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4602","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:00 GMT 2022","5757","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:02 GMT 2022","7599","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:29 GMT 2022","34993","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:00 GMT 2022","5700","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:55 GMT 2022","211","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:03 GMT 2022","8038","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4754","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:57 GMT 2022","2596","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:55 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"failed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4533","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:31 GMT 2022","36584","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4728","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:44:08 GMT 2022","193190","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:55 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4506","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:43:04 GMT 2022","129639","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:43:04 GMT 2022","129413","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:03 GMT 2022","8243","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:55 GMT 2022","210","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:00 GMT 2022","5509","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:43:11 GMT 2022","136258","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:58 GMT 2022","3471","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:59 GMT 2022","4534","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:41:02 GMT 2022","7378","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Thu Jul 28 07:40:55 GMT 2022","Thu Jul 28 07:40:55 GMT 2022","220","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
