"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:31 GMT 2022","20086","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"skipped","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"skipped","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
"passed","Tue Aug 09 12:06:16 GMT 2022","Tue Aug 09 12:08:31 GMT 2022","135375","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Tue Aug 09 12:06:16 GMT 2022","Tue Aug 09 12:06:20 GMT 2022","4599","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","502","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"failed","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:22:21 GMT 2022","190110","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"skipped","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"passed","Tue Aug 09 12:19:11 GMT 2022","Tue Aug 09 12:19:11 GMT 2022","349","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
