"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 17 05:02:08 GMT 2022","Wed Aug 17 05:02:08 GMT 2022","204","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"failed","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:55:58 GMT 2022","195346","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"failed","Wed Aug 17 04:58:29 GMT 2022","Wed Aug 17 05:02:06 GMT 2022","217737","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:55:11 GMT 2022","148575","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"skipped","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:52:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Wed Aug 17 05:05:20 GMT 2022","Wed Aug 17 05:05:21 GMT 2022","1870","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:52:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Wed Aug 17 05:02:08 GMT 2022","Wed Aug 17 05:05:19 GMT 2022","191739","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Wed Aug 17 04:58:29 GMT 2022","Wed Aug 17 04:58:30 GMT 2022","1503","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Wed Aug 17 05:05:20 GMT 2022","Wed Aug 17 05:05:20 GMT 2022","444","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:52:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:52:44 GMT 2022","1878","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Wed Aug 17 04:52:43 GMT 2022","Wed Aug 17 04:52:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
