"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:09:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Thu Aug 18 06:18:29 GMT 2022","Thu Aug 18 06:21:57 GMT 2022","208429","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 06:21:57 GMT 2022","Thu Aug 18 06:21:59 GMT 2022","2208","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:09:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"skipped","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:09:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:09:26 GMT 2022","1681","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Thu Aug 18 06:18:29 GMT 2022","Thu Aug 18 06:18:29 GMT 2022","272","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"failed","Thu Aug 18 06:15:04 GMT 2022","Thu Aug 18 06:18:26 GMT 2022","202886","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Aug 18 06:21:57 GMT 2022","Thu Aug 18 06:21:57 GMT 2022","531","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:11:47 GMT 2022","142938","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Thu Aug 18 06:15:04 GMT 2022","Thu Aug 18 06:15:05 GMT 2022","1830","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:12:38 GMT 2022","193561","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Thu Aug 18 06:09:25 GMT 2022","Thu Aug 18 06:09:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
