"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:42:27 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Wed Aug 24 05:54:57 GMT 2022","Wed Aug 24 05:54:57 GMT 2022","298","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Wed Aug 24 05:51:33 GMT 2022","Wed Aug 24 05:54:56 GMT 2022","203859","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:42:28 GMT 2022","1577","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:42:27 GMT 2022","4","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:44:54 GMT 2022","147429","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Wed Aug 24 05:48:14 GMT 2022","Wed Aug 24 05:48:15 GMT 2022","1525","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:42:27 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:45:45 GMT 2022","198407","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Wed Aug 24 05:42:27 GMT 2022","Wed Aug 24 05:42:27 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Wed Aug 24 05:54:57 GMT 2022","Wed Aug 24 05:54:59 GMT 2022","2158","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Wed Aug 24 05:51:33 GMT 2022","Wed Aug 24 05:51:33 GMT 2022","354","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"failed","Wed Aug 24 05:48:14 GMT 2022","Wed Aug 24 05:51:30 GMT 2022","196945","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
