"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 14:37:44 GMT 2022","Wed Aug 24 14:37:45 GMT 2022","1951","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:31:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:35:10 GMT 2022","194164","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:31:57 GMT 2022","1708","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Wed Aug 24 14:41:15 GMT 2022","Wed Aug 24 14:44:33 GMT 2022","198167","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"failed","Wed Aug 24 14:44:34 GMT 2022","Wed Aug 24 14:44:34 GMT 2022","509","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:34:27 GMT 2022","151695","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Wed Aug 24 14:44:34 GMT 2022","Wed Aug 24 14:44:36 GMT 2022","2465","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Wed Aug 24 14:41:15 GMT 2022","Wed Aug 24 14:41:15 GMT 2022","275","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:31:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"skipped","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:31:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Wed Aug 24 14:37:44 GMT 2022","Wed Aug 24 14:41:13 GMT 2022","209384","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:31:56 GMT 2022","Wed Aug 24 14:31:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
