"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:41 GMT 2022","8454","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:42 GMT 2022","9086","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfully when Project is Applied with valid service account name in Read users",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4668","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4979","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:35 GMT 2022","2027","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:40 GMT 2022","7802","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:38 GMT 2022","5207","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"skipped","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:16:07 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:16:16 GMT 2022","9132","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:57:41 GMT 2022","188271","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:59:53 GMT 2022","320969","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4711","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4977","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4759","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:18:17 GMT 2022","130366","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:33 GMT 2022","254","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:19:10 GMT 2022","183805","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:36 GMT 2022","3590","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:59:48 GMT 2022","315996","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:55:09 GMT 2022","36331","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:55:05 GMT 2022","32245","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:59:47 GMT 2022","314272","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:33 GMT 2022","271","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Fri Dec 02 12:54:33 GMT 2022","Fri Dec 02 12:54:37 GMT 2022","4976","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:16:09 GMT 2022","2270","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol config",""
"passed","Fri Dec 02 13:16:07 GMT 2022","Fri Dec 02 13:16:07 GMT 2022","150","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
