"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5434","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:23 GMT 2022","353","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:06:08 GMT 2022","45345","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Iperf traffic",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:26 GMT 2022","3173","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:19 GMT 2022","13576","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should have vl3 router running",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:30 GMT 2022","7918","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:32 GMT 2022","9316","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:06:04 GMT 2022","41093","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:27 GMT 2022","4981","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5314","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5260","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:17:06 GMT 2022","60766","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should create & label app ns with kubeslice label",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5251","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:07:46 GMT 2022","143507","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:23 GMT 2022","362","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:07:40 GMT 2022","137108","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5349","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:27 GMT 2022","4662","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5079","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:28 GMT 2022","5170","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"failed","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:17:07 GMT 2022","61482","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should create all application namespaces",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:31 GMT 2022","8060","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"skipped","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:06 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should have vl3 router running",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:34 GMT 2022","11022","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfully when Project is Applied with valid service account name in Read users",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:26 GMT 2022","3917","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:16:19 GMT 2022","13230","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:05:23 GMT 2022","344","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Tue Dec 20 03:05:23 GMT 2022","Tue Dec 20 03:06:10 GMT 2022","47491","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Tue Dec 20 03:16:06 GMT 2022","Tue Dec 20 03:18:17 GMT 2022","131583","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
