"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4522","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"failed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4467","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4728","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:36 GMT 2022","7951","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"failed","Tue Aug 09 06:33:04 GMT 2022","Tue Aug 09 06:34:53 GMT 2022","109500","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:37 GMT 2022","8583","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:31:09 GMT 2022","40102","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4939","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:34 GMT 2022","5723","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:41 GMT 2022","12146","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","199","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Tue Aug 09 06:33:04 GMT 2022","Tue Aug 09 06:33:26 GMT 2022","22450","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:32 GMT 2022","3402","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4643","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4618","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:33 GMT 2022","4370","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:34 GMT 2022","5418","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","207","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:36 GMT 2022","7570","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","199","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"skipped","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:34 GMT 2022","5711","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"skipped","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:29 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:36 GMT 2022","7656","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:31 GMT 2022","2217","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Tue Aug 09 06:30:29 GMT 2022","Tue Aug 09 06:30:37 GMT 2022","8550","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
