"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","400","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Fri Sep 16 06:04:50 GMT 2022","Fri Sep 16 06:04:50 GMT 2022","282","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:08:59 GMT 2022","66742","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:05 GMT 2022","72932","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:54 GMT 2022","121547","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:00 GMT 2022","67779","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Fri Sep 16 06:04:50 GMT 2022","Fri Sep 16 06:04:52 GMT 2022","2357","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:08:59 GMT 2022","66777","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"skipped","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Fri Sep 16 06:04:50 GMT 2022","Fri Sep 16 06:04:50 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:08:53 GMT 2022","60417","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:54 GMT 2022","121385","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"skipped","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","346","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","366","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:00 GMT 2022","67634","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:42 GMT 2022","109394","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:12:56 GMT 2022","303330","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:54 GMT 2022","121383","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:09:07 GMT 2022","74847","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"failed","Fri Sep 16 06:07:53 GMT 2022","Fri Sep 16 06:07:53 GMT 2022","544","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
