"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:36:51 GMT 2022","309556","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:33:43 GMT 2022","121402","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:32:50 GMT 2022","68218","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Tue Sep 13 03:29:16 GMT 2022","Tue Sep 13 03:29:16 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:31:54 GMT 2022","12544","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:31:42 GMT 2022","258","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:32:49 GMT 2022","67435","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:33:08 GMT 2022","86799","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:31:42 GMT 2022","240","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"failed","Tue Sep 13 03:31:42 GMT 2022","Tue Sep 13 03:33:43 GMT 2022","121373","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Tue Sep 13 03:29:16 GMT 2022","Tue Sep 13 03:29:18 GMT 2022","2549","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
