"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 06:00:28 GMT 2022","Thu Sep 15 06:00:28 GMT 2022","330","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:52 GMT 2022","99042","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:20 GMT 2022","67481","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Thu Sep 15 06:00:28 GMT 2022","Thu Sep 15 06:00:28 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","329","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","333","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"skipped","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"skipped","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:21 GMT 2022","68594","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:05:14 GMT 2022","121399","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:22 GMT 2022","69368","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:08:16 GMT 2022","303014","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:20 GMT 2022","67490","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","356","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:03:13 GMT 2022","513","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"failed","Thu Sep 15 06:03:13 GMT 2022","Thu Sep 15 06:04:19 GMT 2022","66806","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
