"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","275","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Thu Sep 15 07:10:25 GMT 2022","Thu Sep 15 07:10:25 GMT 2022","234","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:17:54 GMT 2022","302287","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Sep 15 07:10:25 GMT 2022","Thu Sep 15 07:10:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:14:00 GMT 2022","68201","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Thu Sep 15 07:10:25 GMT 2022","Thu Sep 15 07:10:25 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:13:27 GMT 2022","35082","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"failed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","273","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","270","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:14:13 GMT 2022","81013","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","260","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Thu Sep 15 07:12:52 GMT 2022","Thu Sep 15 07:12:52 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
