"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","314","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","318","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:57:37 GMT 2022","52144","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","363","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:05:49 GMT 2022","393474","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:17 GMT 2022","1308","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","324","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","330","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","323","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:04:31 GMT 2022","315673","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:01:17 GMT 2022","121526","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","309","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:58:17 GMT 2022","92920","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:56:45 GMT 2022","356","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","300","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","314","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:56:45 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:04:18 GMT 2022","302740","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:56:48 GMT 2022","3299","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","298","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"skipped","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:04:32 GMT 2022","316212","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","299","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:04:26 GMT 2022","310810","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","306","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:00:54 GMT 2022","98673","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:56:46 GMT 2022","1894","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","301","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 17:59:16 GMT 2022","293","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"failed","Thu Sep 15 17:59:16 GMT 2022","Thu Sep 15 18:00:32 GMT 2022","76574","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Thu Sep 15 17:56:45 GMT 2022","Thu Sep 15 17:56:45 GMT 2022","10","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
