"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","386","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Oct 13 12:57:44 GMT 2022","Thu Oct 13 12:57:44 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"skipped","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:31 GMT 2022","4529","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","426","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:02:06 GMT 2022","99756","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","370","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","384","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"skipped","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","426","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"skipped","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Oct 13 12:57:44 GMT 2022","Thu Oct 13 12:57:44 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","486","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Thu Oct 13 13:00:27 GMT 2022","Thu Oct 13 13:00:27 GMT 2022","431","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
