"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","416","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"skipped","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:50 GMT 2022","121347","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:17 GMT 2022","88721","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:55 GMT 2022","66906","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"skipped","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:03 GMT 2022","74833","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:07:16 GMT 2022","3899","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:50 GMT 2022","121373","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","386","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:07:13 GMT 2022","296","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:14:52 GMT 2022","303107","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:50 GMT 2022","121545","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:49 GMT 2022","60533","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:07:13 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","578","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"skipped","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:07 GMT 2022","78658","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:07:13 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","375","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:56 GMT 2022","67723","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:09:49 GMT 2022","381","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:55 GMT 2022","66716","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:08:41 GMT 2022","88897","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:55 GMT 2022","66750","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:56 GMT 2022","67574","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:11:50 GMT 2022","121413","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:07:15 GMT 2022","2447","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"failed","Thu Sep 15 04:09:49 GMT 2022","Thu Sep 15 04:10:50 GMT 2022","61433","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Sep 15 04:07:13 GMT 2022","Thu Sep 15 04:08:13 GMT 2022","60162","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
