"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 15 07:47:07 GMT 2022","Thu Sep 15 07:47:07 GMT 2022","292","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","305","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:54:52 GMT 2022","302275","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","312","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","289","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","287","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","288","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","285","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","281","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Sep 15 07:47:07 GMT 2022","Thu Sep 15 07:47:07 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:49:50 GMT 2022","329","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"failed","Thu Sep 15 07:49:50 GMT 2022","Thu Sep 15 07:50:56 GMT 2022","66654","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Thu Sep 15 07:47:07 GMT 2022","Thu Sep 15 07:48:06 GMT 2022","59556","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
