"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1686","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests RBAC Common Tests WorkerSliceRoleBinding data propagation test: Checking successful creation of labels",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1942","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests RBAC Common Tests WorkerSliceRoleBinding generation test: WorkerSliceRoleBinding with kubernetes role should be generated automatically when forcefully deleted",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1015","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Create SliceRoleBinding failure test: Creating SliceRoleBinding slice-red with duplicate Kubernetes Roles",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","763","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - sum(cluster.limit.CPU) > slice.CPU",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","681","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - negative pod cound",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:25:00 GMT 2022","2839","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Delete SliceRoleBinding success test: Deletion of SliceConfig should delete SliceRoleBinding",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1443","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Delete resource quota test",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1917","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests RBAC Common Tests WorkerSliceRoleBinding generation test: Creation of SliceRoleBinding with custom roles should generate WorkerSliceRoleBinding",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","413","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test- Request.Mem > Limit.Mem at cluster level",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1438","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests RBAC Common Tests SliceRoleBinding status test: SliceRoleBinding should have empty status for successful WorkerSliceRoleBinding generation",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","744","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - no resource specified in namespaceLevel quota  ",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","861","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - sum(namespace.limit.cpu) > cluster.cpu",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1542","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Delete Sliceconfig fail test",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","925","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Create SliceRoleBinding successful test: Creating SliceRoleBinding slice-red with Kubernetes Roles",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:25:00 GMT 2022","2700","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleTemplate Tests Delete SliceRoleTempalate failure test: Deleting SliceRoleTempalate read-only-role participating in a SliceRoleBinding",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","319","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleTemplate Tests Create SliceRoleTempalate failure test: Creating SliceRoleTempalate read-only-role, missing verbs field",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1226","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - slice.limit.podcount negative  ",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","768","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test-namespace not part of application namespaces",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","386","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Create SliceRoleBinding failure test: Creating SliceRoleBinding slice-red with unsupported K8s Role",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:28:42 GMT 2022","224906","","Controller Suite","","Controller Suite","","[BeforeSuite]",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","559","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test - sum(namespace.limit.mem) > slice.mem",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","388","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test- Request.Mem > Limit.Mem at namespace level",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","477","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test- Request.CPU > Limit.CPU at cluster level",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","399","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Create SliceRoleBinding failure test: Creating SliceRoleBinding slice-red with invalid subject name",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1101","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test-pod count empty",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:59 GMT 2022","1157","","Controller Suite","","Controller Suite","","[It] Slice resource quota Tests ResourceQuota creation tests Create ResourceQuota fail test- Request.EphemeralStorage > Limit.EphemeralStorage at slice level",""
"passed","Fri Nov 11 08:24:58 GMT 2022","Fri Nov 11 08:24:58 GMT 2022","465","","Controller Suite","","Controller Suite","","[It] Slice RBAC Tests SliceRoleBinding Tests Create SliceRoleBinding failure test: Creating SliceRoleBinding slice-red with invalid subject kind",""
