"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:28:36 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:23 GMT 2022","16764","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:28:37 GMT 2022","1861","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:28:36 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:28:36 GMT 2022","609","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:29:32 GMT 2022","56023","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:36:23 GMT 2022","316377","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:36:16 GMT 2022","309821","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"failed","Tue Sep 20 07:53:12 GMT 2022","Tue Sep 20 07:53:12 GMT 2022","598","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:12 GMT 2022","5944","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:15 GMT 2022","8469","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4957","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Tue Sep 20 07:53:12 GMT 2022","Tue Sep 20 07:53:12 GMT 2022","40","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:12 GMT 2022","5023","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:10 GMT 2022","3669","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4796","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:07 GMT 2022","282","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:34:06 GMT 2022","179491","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:13 GMT 2022","6011","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:14 GMT 2022","7873","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:28:39 GMT 2022","3205","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4388","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:07 GMT 2022","295","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4955","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:07 GMT 2022","0","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"failed","Tue Sep 20 07:53:13 GMT 2022","Tue Sep 20 07:53:13 GMT 2022","552","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:32:28 GMT 2022","81969","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4819","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Tue Sep 20 07:28:36 GMT 2022","Tue Sep 20 07:30:04 GMT 2022","88393","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Tue Sep 20 07:53:13 GMT 2022","Tue Sep 20 07:53:13 GMT 2022","34","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:14 GMT 2022","7766","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:36:17 GMT 2022","310425","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:07 GMT 2022","300","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:11 GMT 2022","4984","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Tue Sep 20 07:31:07 GMT 2022","Tue Sep 20 07:31:43 GMT 2022","36153","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
