"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:34 GMT 2022","239","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:46:21 GMT 2022","47441","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:42 GMT 2022","8936","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Mon Jul 25 11:57:17 GMT 2022","Mon Jul 25 11:57:42 GMT 2022","25530","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:38 GMT 2022","4819","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:47:50 GMT 2022","136090","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:34 GMT 2022","282","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:46:13 GMT 2022","39608","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:34 GMT 2022","249","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:47:43 GMT 2022","129855","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:47:44 GMT 2022","130638","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:41 GMT 2022","7967","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"failed","Mon Jul 25 11:57:17 GMT 2022","Mon Jul 25 12:01:07 GMT 2022","230303","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:37 GMT 2022","3446","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:48:43 GMT 2022","189446","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Mon Jul 25 11:45:34 GMT 2022","Mon Jul 25 11:45:37 GMT 2022","3576","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
