"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","137","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","157","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"failed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:30:42 GMT 2022","60195","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Check ping between iperf-server and iperf-client after nsm-kernel-forwarder pod restart",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Application namespaces should be isolated",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","202","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"failed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:31:45 GMT 2022","123790","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:19:15 GMT 2022","129525","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:30:42 GMT 2022","60647","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","272","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:13 GMT 2022","7614","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Check ping between iperf-server and iperf-client after iperf-client pod restart",""
"failed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:30:28 GMT 2022","46818","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol config",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","258","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard remove label from app ns",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","346","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Iperf cleanup",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","277","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","144","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:41 GMT 2022","35166","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","964","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod running on attached cluster",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:11 GMT 2022","5717","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:31:10 GMT 2022","88666","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Should restart vl3 pod",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","338","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should reconcile low qos slice",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router running on attached cluster",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:06 GMT 2022","237","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:11 GMT 2022","5018","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:08 GMT 2022","2458","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","866","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","365","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice name",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","186","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Iperf traffic",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","90","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:30:22 GMT 2022","40091","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","312","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Iperf connectivity Verify Iperf traffic",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:19:26 GMT 2022","140463","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"failed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:10 GMT 2022","4503","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:10 GMT 2022","4704","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:14 GMT 2022","8517","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","510","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"passed","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","44","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"passed","Sun Jul 31 13:17:06 GMT 2022","Sun Jul 31 13:17:11 GMT 2022","5478","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Sun Jul 31 13:29:42 GMT 2022","Sun Jul 31 13:29:42 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
