"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:17 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sun Aug 14 05:00:05 GMT 2022","Sun Aug 14 05:00:05 GMT 2022","619","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:21 GMT 2022","4729","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:21 GMT 2022","4869","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Sun Aug 14 05:00:05 GMT 2022","Sun Aug 14 05:01:03 GMT 2022","58961","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:25 GMT 2022","8244","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Sun Aug 14 05:00:05 GMT 2022","Sun Aug 14 05:00:05 GMT 2022","501","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:17 GMT 2022","338","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Sun Aug 14 04:46:17 GMT 2022","Sun Aug 14 04:46:17 GMT 2022","278","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"skipped","Sun Aug 14 05:00:05 GMT 2022","Sun Aug 14 05:00:05 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
