"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 06:21:46 GMT 2022","Thu Aug 18 06:21:46 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:37 GMT 2022","265","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"failed","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:39:41 GMT 2022","54485","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:42 GMT 2022","5059","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:26:48 GMT 2022","131186","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Aug 18 06:21:46 GMT 2022","Thu Aug 18 06:22:48 GMT 2022","62266","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:44 GMT 2022","7770","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:40 GMT 2022","3575","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:37 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:42 GMT 2022","5878","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:42:15 GMT 2022","208194","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"skipped","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:38:47 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"failed","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:40:16 GMT 2022","89290","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Thu Aug 18 06:21:46 GMT 2022","Thu Aug 18 06:21:47 GMT 2022","1816","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:38:47 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Thu Aug 18 06:21:46 GMT 2022","Thu Aug 18 06:21:46 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:38:47 GMT 2022","Thu Aug 18 06:39:08 GMT 2022","21717","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 06:24:37 GMT 2022","Thu Aug 18 06:24:37 GMT 2022","300","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
