"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:01:17 GMT 2022","66530","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"skipped","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:00:11 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:37 GMT 2022","226","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:45 GMT 2022","8461","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:42 GMT 2022","5434","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4690","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Aug 18 13:44:14 GMT 2022","Thu Aug 18 13:44:49 GMT 2022","35961","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"skipped","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:37 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:39 GMT 2022","2160","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:45 GMT 2022","8219","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:42 GMT 2022","5765","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:03:16 GMT 2022","185604","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:44 GMT 2022","7974","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:44 GMT 2022","7605","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:37 GMT 2022","210","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:40 GMT 2022","3410","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4466","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Aug 18 13:44:14 GMT 2022","Thu Aug 18 13:44:14 GMT 2022","295","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:00:20 GMT 2022","9376","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:42 GMT 2022","5679","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"failed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4456","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"failed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:44 GMT 2022","7559","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Thu Aug 18 13:44:14 GMT 2022","Thu Aug 18 13:45:56 GMT 2022","102162","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"failed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:01:18 GMT 2022","67187","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:00:11 GMT 2022","464","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4524","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"failed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:01:18 GMT 2022","67161","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:48:10 GMT 2022","93562","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:48:51 GMT 2022","134229","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"broken","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:27:59 GMT 2022","1668053","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:00:43 GMT 2022","32123","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:03:11 GMT 2022","180453","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4803","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Aug 18 14:00:11 GMT 2022","Thu Aug 18 14:00:36 GMT 2022","25963","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Thu Aug 18 13:46:37 GMT 2022","Thu Aug 18 13:46:41 GMT 2022","4599","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
