"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:28 GMT 2022","226","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:32 GMT 2022","4518","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:32 GMT 2022","4555","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:36 GMT 2022","8285","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:33 GMT 2022","5723","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:33 GMT 2022","5741","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:32 GMT 2022","4748","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:36 GMT 2022","8368","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:28 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Wed Aug 24 14:37:57 GMT 2022","Wed Aug 24 14:37:57 GMT 2022","359","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:33 GMT 2022","5050","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:22 GMT 2022","3411","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Wed Aug 24 14:37:57 GMT 2022","Wed Aug 24 14:39:35 GMT 2022","98720","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:42:05 GMT 2022","97037","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:35 GMT 2022","7626","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:32 GMT 2022","4750","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:40:45 GMT 2022","17100","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:55:19 GMT 2022","60058","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:42:44 GMT 2022","136211","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"broken","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 15:24:43 GMT 2022","1824414","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:42:42 GMT 2022","134479","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Wed Aug 24 14:37:57 GMT 2022","Wed Aug 24 14:37:59 GMT 2022","2559","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:37 GMT 2022","18184","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Wed Aug 24 14:40:28 GMT 2022","Wed Aug 24 14:41:03 GMT 2022","35067","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","411","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Wed Aug 24 14:54:19 GMT 2022","Wed Aug 24 14:54:19 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
