"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:39 GMT 2022","1076","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"failed","Tue Dec 20 03:20:48 GMT 2022","Tue Dec 20 03:21:48 GMT 2022","60695","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should create & label app ns with kubeslice label",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"failed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:26:41 GMT 2022","123101","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should have application namespaces created",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from statefulsets",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from daemonsets",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:40 GMT 2022","2043","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard label app ns on workers",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","521","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:26:00 GMT 2022","82262","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","799","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:25:00 GMT 2022","22907","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"skipped","Tue Dec 20 03:20:48 GMT 2022","Tue Dec 20 03:20:48 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Iperf traffic",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","185","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard slice get detached from app ns in cluster objects",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","3","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","520","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"failed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:26:39 GMT 2022","121264","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have application namespaces created & labeled",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","690","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:39 GMT 2022","1360","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:39 GMT 2022","1307","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:26:03 GMT 2022","85578","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","425","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:40 GMT 2022","2022","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove vl3 router from spoke",""
"skipped","Tue Dec 20 03:20:48 GMT 2022","Tue Dec 20 03:20:48 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:40 GMT 2022","2000","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"skipped","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:38 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"passed","Tue Dec 20 03:24:38 GMT 2022","Tue Dec 20 03:24:48 GMT 2022","10707","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deboarded app ns gets deleted",""
