"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:23 GMT 2022","3421","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:04:52 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:29 GMT 2022","9027","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:08:53 GMT 2022","93879","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Fri Aug 19 05:18:38 GMT 2022","Fri Aug 19 05:18:41 GMT 2022","3079","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:27 GMT 2022","7934","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:25 GMT 2022","5702","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:27 GMT 2022","7605","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"failed","Fri Aug 19 05:18:41 GMT 2022","Fri Aug 19 05:18:44 GMT 2022","3008","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4658","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4487","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","244","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"skipped","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:06:23 GMT 2022","91362","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:12:24 GMT 2022","304350","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:28 GMT 2022","8011","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:28 GMT 2022","8038","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4628","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:30 GMT 2022","10320","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4570","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4668","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:08:00 GMT 2022","40467","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","240","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:04:53 GMT 2022","1612","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:04:52 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:26 GMT 2022","6266","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:24 GMT 2022","4961","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:25 GMT 2022","5672","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:05:44 GMT 2022","52355","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"skipped","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:25 GMT 2022","5608","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:04:52 GMT 2022","307","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Fri Aug 19 05:18:38 GMT 2022","Fri Aug 19 05:18:38 GMT 2022","302","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Fri Aug 19 05:04:52 GMT 2022","Fri Aug 19 05:04:54 GMT 2022","2506","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Fri Aug 19 05:18:41 GMT 2022","Fri Aug 19 05:18:41 GMT 2022","593","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:07:20 GMT 2022","225","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"failed","Fri Aug 19 05:07:20 GMT 2022","Fri Aug 19 05:09:32 GMT 2022","132631","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
