"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 19 05:45:54 GMT 2022","Fri Aug 19 05:45:54 GMT 2022","323","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Fri Aug 19 05:45:54 GMT 2022","Fri Aug 19 05:45:57 GMT 2022","3469","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Fri Aug 19 05:29:33 GMT 2022","Fri Aug 19 05:29:34 GMT 2022","1229","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Fri Aug 19 05:45:54 GMT 2022","Fri Aug 19 05:45:54 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"skipped","Fri Aug 19 05:32:04 GMT 2022","Fri Aug 19 05:32:04 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Fri Aug 19 05:32:04 GMT 2022","Fri Aug 19 05:32:08 GMT 2022","4154","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Fri Aug 19 05:32:04 GMT 2022","Fri Aug 19 05:32:11 GMT 2022","7549","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"broken","Fri Aug 19 05:45:54 GMT 2022","Fri Aug 19 06:16:20 GMT 2022","1826440","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Fri Aug 19 05:29:33 GMT 2022","Fri Aug 19 05:29:35 GMT 2022","2321","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Fri Aug 19 05:29:33 GMT 2022","Fri Aug 19 05:29:33 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
