"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"passed","Tue Sep 13 04:04:25 GMT 2022","Tue Sep 13 04:04:25 GMT 2022","273","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should reconcile low qos slice",""
"passed","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","440","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:15 GMT 2022","6870","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Tue Sep 13 04:04:25 GMT 2022","Tue Sep 13 04:04:28 GMT 2022","3787","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice name",""
"skipped","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","220","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"passed","Tue Sep 13 04:24:35 GMT 2022","Tue Sep 13 04:24:56 GMT 2022","21750","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"passed","Tue Sep 13 04:41:09 GMT 2022","Tue Sep 13 04:41:09 GMT 2022","89","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should label app ns with kubeslice label",""
"passed","Tue Sep 13 04:24:35 GMT 2022","Tue Sep 13 04:24:35 GMT 2022","551","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
