"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:46:54 GMT 2022","82296","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"failed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:48:45 GMT 2022","193144","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","582","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Fri Sep 16 15:09:10 GMT 2022","Fri Sep 16 15:11:44 GMT 2022","154585","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:57 GMT 2022","25066","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"skipped","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"skipped","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:34 GMT 2022","2895","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"passed","Fri Sep 16 15:31:06 GMT 2022","Fri Sep 16 15:31:28 GMT 2022","22041","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:48:20 GMT 2022","168655","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"passed","Fri Sep 16 15:31:06 GMT 2022","Fri Sep 16 15:31:38 GMT 2022","32061","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","435","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"failed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:49:09 GMT 2022","217157","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:33 GMT 2022","1620","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:35 GMT 2022","3147","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"skipped","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Should restart vl3 pod",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","398","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"skipped","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"failed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:40 GMT 2022","8850","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"skipped","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"passed","Fri Sep 16 15:09:10 GMT 2022","Fri Sep 16 15:09:14 GMT 2022","4356","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Fri Sep 16 15:06:33 GMT 2022","Fri Sep 16 15:07:23 GMT 2022","50361","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:32 GMT 2022","591","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Fri Sep 16 15:45:32 GMT 2022","Fri Sep 16 15:45:43 GMT 2022","11992","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
