"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:18 GMT 2022","358","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:22 GMT 2022","4681","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:25:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:26 GMT 2022","8079","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:25:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:25 GMT 2022","7689","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:25 GMT 2022","7557","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"failed","Thu Aug 18 18:48:43 GMT 2022","Thu Aug 18 18:48:43 GMT 2022","566","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:31:31 GMT 2022","193246","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Thu Aug 18 18:48:43 GMT 2022","Thu Aug 18 18:53:46 GMT 2022","303156","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"failed","Thu Aug 18 18:47:19 GMT 2022","Thu Aug 18 18:47:20 GMT 2022","1529","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:20 GMT 2022","2121","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:25:56 GMT 2022","367","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:23 GMT 2022","5078","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:25:58 GMT 2022","2164","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:27:42 GMT 2022","106499","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:30:27 GMT 2022","129884","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:23 GMT 2022","5742","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:30:39 GMT 2022","141241","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:18 GMT 2022","304","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Thu Aug 18 18:47:19 GMT 2022","Thu Aug 18 18:48:41 GMT 2022","82757","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:24 GMT 2022","6234","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:25:58 GMT 2022","2888","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:29:45 GMT 2022","87421","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:47 GMT 2022","29988","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:23 GMT 2022","5530","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:22 GMT 2022","4080","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:30:27 GMT 2022","129678","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Aug 18 18:25:56 GMT 2022","Thu Aug 18 18:26:26 GMT 2022","30517","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:22 GMT 2022","4460","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:18 GMT 2022","280","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:23 GMT 2022","5731","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Aug 18 18:28:18 GMT 2022","Thu Aug 18 18:28:22 GMT 2022","4273","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
