"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 25 02:28:29 GMT 2022","Tue Oct 25 02:31:34 GMT 2022","185865","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"skipped","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:06 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"failed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:39:06 GMT 2022","180702","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:07 GMT 2022","1138","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy for valid namespace creating clusters with * in both applicationNamespace and allowedNamespace",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:16 GMT 2022","10901","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should remove successfully while Deleting Slice after removing the applicationNamespace in namespaceIsolationProfile part in slice configs",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:06 GMT 2022","79","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"skipped","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:06 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Tue Oct 25 02:28:29 GMT 2022","Tue Oct 25 02:30:07 GMT 2022","98521","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:06 GMT 2022","351","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard remove label from app ns",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:07 GMT 2022","1771","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"passed","Tue Oct 25 02:36:06 GMT 2022","Tue Oct 25 02:36:24 GMT 2022","18537","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
