"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","407","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:12 GMT 2022","10542","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Delete deboarded app ns gets deleted",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","221","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","208","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","162","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","862","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"failed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:35:05 GMT 2022","183379","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have vl3 router running",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:12 GMT 2022","10897","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should remove successfully while Deleting Slice after removing the applicationNamespace in namespaceIsolationProfile part in slice configs",""
"passed","Fri Jul 29 13:19:32 GMT 2022","Fri Jul 29 13:22:40 GMT 2022","188086","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:34:35 GMT 2022","153442","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"failed","Fri Jul 29 13:19:32 GMT 2022","Fri Jul 29 13:19:39 GMT 2022","7593","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","708","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"failed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:33:03 GMT 2022","61765","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice validation Slice with LOW QOS should have gateway pod running",""
"failed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:36:16 GMT 2022","254470","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","786","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"passed","Fri Jul 29 13:19:32 GMT 2022","Fri Jul 29 13:19:40 GMT 2022","8777","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","822","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy slice for valid namespace and valid clusters in allowedNamespaces of sliceconfigs manifest",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","211","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Check ping between iperf-server and iperf-client after nsm-kernel-forwarder pod restart",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"passed","Fri Jul 29 13:19:32 GMT 2022","Fri Jul 29 13:19:36 GMT 2022","4759","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"skipped","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:32:02 GMT 2022","231","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"failed","Fri Jul 29 13:32:02 GMT 2022","Fri Jul 29 13:35:17 GMT 2022","195333","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"passed","Fri Jul 29 13:19:32 GMT 2022","Fri Jul 29 13:20:02 GMT 2022","30110","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
