"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 06:21:36 GMT 2022","Thu Aug 18 06:21:40 GMT 2022","4612","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Thu Aug 18 06:21:36 GMT 2022","Thu Aug 18 06:21:51 GMT 2022","15026","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Thu Aug 18 06:34:30 GMT 2022","Thu Aug 18 06:34:30 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 06:34:30 GMT 2022","Thu Aug 18 06:37:38 GMT 2022","188229","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"skipped","Thu Aug 18 06:34:30 GMT 2022","Thu Aug 18 06:34:30 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Thu Aug 18 06:21:36 GMT 2022","Thu Aug 18 06:21:43 GMT 2022","7536","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"skipped","Thu Aug 18 06:34:30 GMT 2022","Thu Aug 18 06:34:30 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Thu Aug 18 06:21:36 GMT 2022","Thu Aug 18 06:21:40 GMT 2022","4944","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Thu Aug 18 06:21:36 GMT 2022","Thu Aug 18 06:21:36 GMT 2022","194","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Thu Aug 18 06:34:30 GMT 2022","Thu Aug 18 06:37:30 GMT 2022","180206","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
