"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:27 GMT 2022","206","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:45:42 GMT 2022","135561","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4616","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:27 GMT 2022","208","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:06 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:45:41 GMT 2022","134004","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:35 GMT 2022","8707","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:34 GMT 2022","7593","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:52 GMT 2022","46373","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:06 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:07 GMT 2022","1239","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:27 GMT 2022","249","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:32 GMT 2022","5663","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4920","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4436","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:32 GMT 2022","5492","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4627","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:29 GMT 2022","2235","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:00:28 GMT 2022","187424","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:45:41 GMT 2022","134387","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"failed","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:00:21 GMT 2022","180440","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Productpage on worker cluster-1",""
"failed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:34 GMT 2022","7464","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:42:37 GMT 2022","91476","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:08 GMT 2022","2152","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:30 GMT 2022","3418","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:44:00 GMT 2022","33009","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4405","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"broken","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:24:11 GMT 2022","1610094","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"skipped","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:27 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:34 GMT 2022","7640","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"failed","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:00:21 GMT 2022","180299","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"failed","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:00:21 GMT 2022","180196","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4513","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:32 GMT 2022","5676","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Wed Aug 24 14:41:06 GMT 2022","Wed Aug 24 14:41:06 GMT 2022","297","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:42 GMT 2022","15487","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"failed","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 15:00:21 GMT 2022","180526","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"skipped","Wed Aug 24 14:57:21 GMT 2022","Wed Aug 24 14:57:21 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:43:31 GMT 2022","4638","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:45:08 GMT 2022","101774","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:43:27 GMT 2022","Wed Aug 24 14:46:39 GMT 2022","192874","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
