"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:12 GMT 2022","260","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:53:44 GMT 2022","92918","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"failed","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:18:03 GMT 2022","218728","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:16 GMT 2022","4635","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:46 GMT 2022","34633","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:17 GMT 2022","5651","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:16 GMT 2022","4899","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"failed","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:17:25 GMT 2022","180345","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"passed","Mon Sep 26 02:49:43 GMT 2022","Mon Sep 26 02:51:26 GMT 2022","103446","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:19 GMT 2022","7673","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:57:27 GMT 2022","315496","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:57:26 GMT 2022","314992","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:20 GMT 2022","8531","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:15 GMT 2022","3611","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:14 GMT 2022","2256","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Mon Sep 26 03:33:19 GMT 2022","Mon Sep 26 03:39:22 GMT 2022","363018","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Mon Sep 26 02:49:43 GMT 2022","Mon Sep 26 02:49:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:17:37 GMT 2022","192886","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Mon Sep 26 02:49:43 GMT 2022","Mon Sep 26 02:49:44 GMT 2022","1612","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:16 GMT 2022","4863","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should verify if Ping works successfully from Productpage to details endpoint",""
"passed","Mon Sep 26 02:52:12 GMT 2022","Mon Sep 26 02:52:16 GMT 2022","4797","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:17:25 GMT 2022","180325","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 4 with egress and ingress Should install Productpage on worker cluster-1",""
"skipped","Mon Sep 26 03:14:25 GMT 2022","Mon Sep 26 03:14:25 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 2 with egress and without ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
