"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"failed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:36 GMT 2022","4632","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"skipped","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"skipped","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"passed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","236","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"failed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:47 GMT 2022","15920","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"passed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:06:19 GMT 2022","167616","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove gateway pod from spoke",""
"skipped","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"passed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:03:32 GMT 2022","960","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"failed","Tue Oct 25 04:49:22 GMT 2022","Tue Oct 25 04:53:30 GMT 2022","248529","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"failed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:06:32 GMT 2022","180690","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have vl3 router running",""
"failed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:06:34 GMT 2022","182862","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"failed","Tue Oct 25 05:03:32 GMT 2022","Tue Oct 25 05:06:33 GMT 2022","181343","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have vl3 router running",""
