"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:38:01 GMT 2022","9591","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"passed","Mon Nov 07 17:27:07 GMT 2022","Mon Nov 07 17:27:14 GMT 2022","7798","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","853","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while creating namespaces with same name in both allowedNamespace and applicationNamespace",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:56 GMT 2022","4435","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"passed","Mon Nov 07 17:27:07 GMT 2022","Mon Nov 07 17:29:04 GMT 2022","117391","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:41:35 GMT 2022","223615","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Mon Nov 07 17:27:07 GMT 2022","Mon Nov 07 17:27:07 GMT 2022","286","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:53 GMT 2022","1727","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy for valid namespace creating clusters with * in both applicationNamespace and allowedNamespace",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:38:03 GMT 2022","11095","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Delete deboarded app ns gets deleted",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:57 GMT 2022","5778","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have vl3 router running",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","747","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","424","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:43:41 GMT 2022","349543","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:38:00 GMT 2022","8009","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have vl3 router running",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:53 GMT 2022","1445","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying clusters in namespaceisolationprofile with * and a cluster name in both applicationNamespace and allowedNamespace",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-sleep on client cluster",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","222","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"passed","Mon Nov 07 17:27:07 GMT 2022","Mon Nov 07 17:27:53 GMT 2022","46974","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should have vl3 router running",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod running on attached cluster",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","281","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard remove label from app ns",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","874","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","265","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:56 GMT 2022","4572","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:53 GMT 2022","1451","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:41:05 GMT 2022","193670","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:55 GMT 2022","3948","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Check ping between iperf-server and iperf-client after nsm-kernel-forwarder pod restart",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:40:59 GMT 2022","187522","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","934","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:41:37 GMT 2022","225451","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:38:14 GMT 2022","22056","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should remove successfully while Deleting Slice after removing the applicationNamespace in namespaceIsolationProfile part in slice configs",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should remove network policy resource from application namespace once the isolationEnabled is set to false",""
"failed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:43:29 GMT 2022","337115","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"passed","Mon Nov 07 17:27:07 GMT 2022","Mon Nov 07 17:27:40 GMT 2022","33184","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:53 GMT 2022","1549","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","518","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","244","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard cluster objs should have app ns & attached slice entry",""
"passed","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","832","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Mon Nov 07 17:37:52 GMT 2022","Mon Nov 07 17:37:52 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Check ping between iperf-server and iperf-client after iperf-client pod restart",""
