"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Should restart vl3 pod",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:34 GMT 2022","3162","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have slices on workers",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1333","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard label app ns on workers",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","643","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1332","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"failed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:24:32 GMT 2022","121564","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Should have application namespaces created",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","4","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove gateway pod from spoke",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:36 GMT 2022","5988","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have vl3 router running",""
"skipped","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:18:52 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from statefulsets",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:41 GMT 2022","10779","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deboarded app ns gets deleted",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Check ping between iperf-server and iperf-client after vl3 pod restart",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
"failed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:24:32 GMT 2022","121195","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Slice is create with onboarded application namespaces Should have application namespaces created & labeled",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","691","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from deployments",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1394","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","595","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"passed","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:19:03 GMT 2022","11681","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1352","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","669","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1328","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should successfully deploy slice for valid namespace and valid clusters in allowedNamespaces of sliceconfigs manifest",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:23:04 GMT 2022","33011","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have gateway pod running",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace onboard Should mutate daemonsets with labels and annotations with nsm sidecars injected",""
"failed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:25:45 GMT 2022","194455","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove vl3 router from spoke",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","450","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while creating namespaces with same name in both allowedNamespace and applicationNamespace",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:34 GMT 2022","3028","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove vl3 router from spoke",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","226","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart Should have application namespaces created",""
"skipped","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:18:52 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol config",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","547","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:42 GMT 2022","11304","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:32 GMT 2022","1478","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice name",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:18:52 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"skipped","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:18:52 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","396","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Check bandwidth ceiling",""
"passed","Tue Dec 20 03:18:52 GMT 2022","Tue Dec 20 03:19:01 GMT 2022","9629","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should have vl3 router running",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","17","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"failed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:24:32 GMT 2022","121577","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should have application namespaces created",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:36 GMT 2022","5052","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have vl3 router running",""
"skipped","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Should restart mesh-dns pod",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:31 GMT 2022","252","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Offboard slice get detached from app ns in cluster objects",""
"passed","Tue Dec 20 03:22:31 GMT 2022","Tue Dec 20 03:22:33 GMT 2022","2147","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
