"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from deployments",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should contain application namespaces",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:28 GMT 2022","11041","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deboarded app ns gets deleted",""
"failed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:06:18 GMT 2022","121507","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should have application namespaces created",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","590","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying clusters in namespaceisolationprofile with * and a cluster name in both applicationNamespace and allowedNamespace",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:28 GMT 2022","11265","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:18 GMT 2022","1283","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","6","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router running on attached cluster",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:57 GMT 2022","40069","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:18 GMT 2022","1064","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Tue Dec 20 11:00:20 GMT 2022","Tue Dec 20 11:01:46 GMT 2022","86579","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","717","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"failed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:06:19 GMT 2022","122409","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Should have application namespaces created",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:28 GMT 2022","11814","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: when Namespaces are labeled with kubeslice label Delete namespace deleted app ns entry should get removed from cluster objs",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"skipped","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Should install iperf-server on server cluster",""
"passed","Tue Dec 20 11:00:20 GMT 2022","Tue Dec 20 11:00:36 GMT 2022","16619","","Intracluster Suite","","Intracluster Suite","","[AfterSuite]",""
"passed","Tue Dec 20 11:04:17 GMT 2022","Tue Dec 20 11:04:17 GMT 2022","687","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with with invalid DSCP class in qosprofiledetails",""
