"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Aug 20 15:23:32 GMT 2022","Sat Aug 20 15:23:32 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should verify if Curl Traffic works on Productpage test",""
"passed","Sat Aug 20 15:23:32 GMT 2022","Sat Aug 20 15:25:00 GMT 2022","88623","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 1 without egress and ingress Should install Productpage on worker cluster-1",""
"failed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:09:58 GMT 2022","367810","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:58 GMT 2022","7537","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:55 GMT 2022","4914","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:59 GMT 2022","8185","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"skipped","Sat Aug 20 15:23:32 GMT 2022","Sat Aug 20 15:23:32 GMT 2022","0","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Details, Reviews, Ratings and Serviceexport on worker cluster-2",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:06:48 GMT 2022","177943","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Sat Aug 20 15:43:04 GMT 2022","Sat Aug 20 15:49:07 GMT 2022","363129","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:04:25 GMT 2022","34676","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"failed","Sat Aug 20 15:43:04 GMT 2022","Sat Aug 20 15:43:04 GMT 2022","454","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:55 GMT 2022","4205","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:06:06 GMT 2022","135457","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"failed","Sat Aug 20 15:23:32 GMT 2022","Sat Aug 20 15:26:32 GMT 2022","180193","","Istio Suite","","Istio Suite","","[It] Bookinfo tests Bookinfo Scenario 3 without egress and with ingress Should install Productpage on worker cluster-1",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:05:28 GMT 2022","97783","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:57 GMT 2022","6266","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sat Aug 20 15:03:51 GMT 2022","Sat Aug 20 15:03:55 GMT 2022","4408","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Sat Aug 20 15:01:30 GMT 2022","Sat Aug 20 15:01:30 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 15:01:30 GMT 2022","Sat Aug 20 15:02:00 GMT 2022","30466","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
