"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4768","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:40 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with LOW QOS should have gateway pod running",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:50:59 GMT 2022","139585","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Check ping between iperf-server and iperf-client after nsm-kernel-forwarder pod restart",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:40 GMT 2022","252","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:40 GMT 2022","208","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should contain the allowed namespaces",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:47 GMT 2022","7593","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail while Deleting Slice without removing the namespaceIsolationProfile part in slice configs",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting vl3 pod Should restart vl3 pod",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:02:19 GMT 2022","60960","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have vl3 router running",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Should restart worker-operator pod",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","712","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should get attached to slice",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting worker-operator pod Check ping between iperf-server and iperf-client after worker-operator pod restart",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4337","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:20 GMT 2022","1083","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should update while deploying sliceconfig with existing slice name",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol config",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:49:25 GMT 2022","45236","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:02:19 GMT 2022","60359","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:02:21 GMT 2022","62775","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should have vl3 router running",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should label app ns with kubeslice label",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:29 GMT 2022","10722","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Application namespaces should be isolated",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice deletion tests: Slice is installed & validated Slice object is deleted from hub should remove gateway pod from spoke",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","504","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid clusters",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:04:13 GMT 2022","174846","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should reconcile medium qos slice",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","484","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Should install slice",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:50:49 GMT 2022","129727","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:51:32 GMT 2022","172328","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:04:22 GMT 2022","183736","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have vl3 router running",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","217","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid values on slice subnet",""
"failed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4519","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have gateway pods from both slices",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4705","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should have vl3 routers from both slices",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4620","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:29 GMT 2022","10945","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Delete deboarded app ns gets deleted",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","802","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with invalid values on slice subnet",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:48 GMT 2022","8800","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Should restart nsm-kernel-forwarder pod",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should install slice on each worker cluster with correct namespaceisolationprofile",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:20 GMT 2022","1201","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard label app ns on workers",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid namespace in both applicationNamespace and allowedNamespace",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:27 GMT 2022","8997","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol should have vl3 router running",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart should re-establish connection on node restart",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Should restart iperf-server pod",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-kernel-forwarder pod Iperf cleanup",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:44 GMT 2022","4503","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","276","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Offboard slice get detached from app ns in cluster objects",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:04:20 GMT 2022","181315","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"failed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:02:28 GMT 2022","69157","","Worker Suite","","Worker Suite","","[It] Intracluster slice tests Slice with netpol should have vl3 router running",""
"passed","Tue Aug 02 02:48:40 GMT 2022","Tue Aug 02 02:48:43 GMT 2022","3053","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have gateway pod running",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have vl3 router running on attached cluster",""
"passed","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","268","","Worker Suite","","Worker Suite","","[It] Namespace reconcile test scenarios: Onboard cluster objs should have app ns & attached slice entry",""
"skipped","Tue Aug 02 03:01:19 GMT 2022","Tue Aug 02 03:01:19 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
