"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:58:36 GMT 2022","134483","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:29 GMT 2022","7530","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:24 GMT 2022","2081","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"failed","Sat Aug 20 18:15:27 GMT 2022","Sat Aug 20 18:16:55 GMT 2022","88446","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:57:49 GMT 2022","87581","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:26 GMT 2022","4664","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:53:58 GMT 2022","2996","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:27 GMT 2022","5127","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sat Aug 20 18:16:57 GMT 2022","Sat Aug 20 18:22:01 GMT 2022","304621","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"skipped","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:22 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:53:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:57:06 GMT 2022","44735","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:26 GMT 2022","4564","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:58:37 GMT 2022","135857","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:27 GMT 2022","5698","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:22 GMT 2022","247","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:25 GMT 2022","3417","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"failed","Sat Aug 20 18:15:27 GMT 2022","Sat Aug 20 18:15:28 GMT 2022","1815","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:59:26 GMT 2022","184410","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 18:01:25 GMT 2022","303978","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:54:26 GMT 2022","30769","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:27 GMT 2022","5430","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:53:56 GMT 2022","347","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:58:36 GMT 2022","134986","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:26 GMT 2022","4537","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:53:58 GMT 2022","2157","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:27 GMT 2022","5376","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:53:56 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:30 GMT 2022","8341","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:22 GMT 2022","227","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:29 GMT 2022","7630","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Sat Aug 20 17:53:56 GMT 2022","Sat Aug 20 17:55:45 GMT 2022","109398","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"failed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:51 GMT 2022","29885","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:28 GMT 2022","6253","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:30 GMT 2022","8470","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:26 GMT 2022","4591","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:22 GMT 2022","219","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Sat Aug 20 17:56:22 GMT 2022","Sat Aug 20 17:56:26 GMT 2022","4670","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Sat Aug 20 18:16:57 GMT 2022","Sat Aug 20 18:16:57 GMT 2022","492","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
