"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:06:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:48 GMT 2022","8328","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Sat Aug 20 16:21:28 GMT 2022","Sat Aug 20 16:21:31 GMT 2022","3628","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Sat Aug 20 16:21:24 GMT 2022","Sat Aug 20 16:21:27 GMT 2022","3400","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:11:27 GMT 2022","107990","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","260","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:06:46 GMT 2022","3766","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:46 GMT 2022","6332","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:45 GMT 2022","5957","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4948","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4917","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"skipped","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"skipped","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"failed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:10:31 GMT 2022","51980","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:08:30 GMT 2022","107837","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Sat Aug 20 16:21:28 GMT 2022","Sat Aug 20 16:21:28 GMT 2022","603","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:06:59 GMT 2022","16809","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:06:43 GMT 2022","406","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"skipped","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","0","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:07:30 GMT 2022","47883","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:47 GMT 2022","7744","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"failed","Sat Aug 20 16:21:24 GMT 2022","Sat Aug 20 16:21:24 GMT 2022","291","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4868","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4653","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"failed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:50 GMT 2022","10235","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4695","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:14:44 GMT 2022","304813","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:45 GMT 2022","5511","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","258","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","278","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:48 GMT 2022","8505","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:45 GMT 2022","5191","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"failed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:11:52 GMT 2022","132968","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:47 GMT 2022","7740","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"skipped","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:40 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:44 GMT 2022","4844","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:47 GMT 2022","7643","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Sat Aug 20 16:09:40 GMT 2022","Sat Aug 20 16:09:43 GMT 2022","3527","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Sat Aug 20 16:06:43 GMT 2022","Sat Aug 20 16:06:43 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
