"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 30 04:49:00 GMT 2022","Sat Jul 30 04:52:37 GMT 2022","217597","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:16 GMT 2022","233","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"failed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4481","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:23 GMT 2022","7641","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:16 GMT 2022","215","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4640","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4686","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4536","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:39:30 GMT 2022","134311","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4685","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:21 GMT 2022","5716","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:16 GMT 2022","209","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:21 GMT 2022","5786","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:21 GMT 2022","5052","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:39:32 GMT 2022","136437","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:39:31 GMT 2022","135681","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:46 GMT 2022","30884","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:23 GMT 2022","7604","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:39:32 GMT 2022","136362","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:24 GMT 2022","8217","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4469","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:21 GMT 2022","5503","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"skipped","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:16 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:24 GMT 2022","8043","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"failed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:23 GMT 2022","7479","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:18 GMT 2022","2426","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Sat Jul 30 04:49:00 GMT 2022","Sat Jul 30 04:49:23 GMT 2022","23776","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:50 GMT 2022","34238","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:20 GMT 2022","4111","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Sat Jul 30 04:37:16 GMT 2022","Sat Jul 30 04:37:16 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
