"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:24 GMT 2022","4740","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:57:00 GMT 2022","160533","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:24 GMT 2022","4262","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:25 GMT 2022","5785","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Sun Aug 14 04:51:51 GMT 2022","Sun Aug 14 04:51:53 GMT 2022","2394","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sun Aug 14 04:51:51 GMT 2022","Sun Aug 14 04:51:51 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:24 GMT 2022","4483","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Sun Aug 14 05:13:13 GMT 2022","Sun Aug 14 05:18:15 GMT 2022","302907","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:28 GMT 2022","8756","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:55:57 GMT 2022","97303","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:24 GMT 2022","4701","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:24 GMT 2022","4988","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:20 GMT 2022","203","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"failed","Sun Aug 14 05:09:16 GMT 2022","Sun Aug 14 05:13:11 GMT 2022","235275","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"failed","Sun Aug 14 05:09:16 GMT 2022","Sun Aug 14 05:09:17 GMT 2022","1337","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sun Aug 14 04:51:51 GMT 2022","Sun Aug 14 04:51:51 GMT 2022","268","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:34 GMT 2022","14553","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"failed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:27 GMT 2022","7532","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:25 GMT 2022","5743","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"failed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:56:30 GMT 2022","130813","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Sun Aug 14 04:51:51 GMT 2022","Sun Aug 14 04:51:52 GMT 2022","1269","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Sun Aug 14 04:51:51 GMT 2022","Sun Aug 14 04:51:51 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:56:34 GMT 2022","134747","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:20 GMT 2022","242","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Sun Aug 14 04:54:20 GMT 2022","Sun Aug 14 04:54:22 GMT 2022","2272","","Hub Suite","","Hub Suite","","[AfterSuite]",""
