"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4760","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:46 GMT 2022","9018","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:58:41 GMT 2022","184514","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Thu Aug 18 07:14:49 GMT 2022","Thu Aug 18 07:19:51 GMT 2022","302907","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:40 GMT 2022","3466","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:42 GMT 2022","5459","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"failed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:44 GMT 2022","7546","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:39 GMT 2022","2425","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:10 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:42 GMT 2022","5029","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:10 GMT 2022","247","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:42 GMT 2022","5731","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:57:56 GMT 2022","139253","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:37 GMT 2022","209","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:42 GMT 2022","5838","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"failed","Thu Aug 18 07:14:49 GMT 2022","Thu Aug 18 07:14:49 GMT 2022","426","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:10 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4521","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4543","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:55:01 GMT 2022","111445","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"skipped","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:37 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:12 GMT 2022","2911","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:44 GMT 2022","7669","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:11 GMT 2022","1842","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"skipped","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:37 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:44 GMT 2022","7579","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:37 GMT 2022","248","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4627","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"failed","Thu Aug 18 07:11:02 GMT 2022","Thu Aug 18 07:11:03 GMT 2022","1188","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"failed","Thu Aug 18 07:11:02 GMT 2022","Thu Aug 18 07:14:48 GMT 2022","226361","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:57:52 GMT 2022","135462","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Thu Aug 18 06:53:10 GMT 2022","Thu Aug 18 06:53:40 GMT 2022","30517","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"failed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:57:49 GMT 2022","132651","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4740","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:57:51 GMT 2022","134518","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:57:18 GMT 2022","101755","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:41 GMT 2022","4725","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:37 GMT 2022","202","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"passed","Thu Aug 18 06:55:37 GMT 2022","Thu Aug 18 06:55:45 GMT 2022","8394","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
