"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:14 GMT 2022","16496","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:41:40 GMT 2022","289","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:42:22 GMT 2022","42153","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:43:58 GMT 2022","199","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Mon Aug 22 15:59:11 GMT 2022","Mon Aug 22 15:59:12 GMT 2022","1174","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:06 GMT 2022","8233","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"failed","Mon Aug 22 16:02:55 GMT 2022","Mon Aug 22 16:02:55 GMT 2022","499","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"skipped","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:43:58 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:41:41 GMT 2022","1407","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:43:12 GMT 2022","92374","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:00 GMT 2022","2284","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"skipped","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:43:58 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:41:40 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:43:58 GMT 2022","200","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:03 GMT 2022","5676","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"failed","Mon Aug 22 15:59:11 GMT 2022","Mon Aug 22 16:02:54 GMT 2022","223264","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:41:42 GMT 2022","2428","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4587","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4970","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"failed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:05 GMT 2022","7440","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4640","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:01 GMT 2022","3409","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"passed","Mon Aug 22 16:02:55 GMT 2022","Mon Aug 22 16:07:57 GMT 2022","302532","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4664","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"failed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:46:09 GMT 2022","131145","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"failed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4462","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Mon Aug 22 15:41:40 GMT 2022","Mon Aug 22 15:41:40 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4442","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:46:12 GMT 2022","134667","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:03 GMT 2022","5650","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:46:07 GMT 2022","129317","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:44:02 GMT 2022","4486","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Mon Aug 22 15:43:58 GMT 2022","Mon Aug 22 15:43:58 GMT 2022","198","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
