"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:51 GMT 2022","8002","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should Update successfullyy when Project is Applied with valid service account name in Read users",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4573","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should Delete an existing project successfully",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4985","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project applied with valid service account name in Write users",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:26:56 GMT 2022","92395","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:25:24 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:25:24 GMT 2022","374","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:29:25 GMT 2022","102189","","Hub Suite","","Hub Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:25:26 GMT 2022","2422","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:50 GMT 2022","7588","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Multiple Projects in controller using valid manifest",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:51 GMT 2022","8208","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should create Project while using valid manifest",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:30:38 GMT 2022","175691","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong clustername",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:45 GMT 2022","2266","","Hub Suite","","Hub Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:25:24 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:46 GMT 2022","3447","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Creates cluster secrets",""
"skipped","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:43 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4490","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should update Project while applying valid manifest with existing Project name",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:26:05 GMT 2022","41933","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"failed","Wed Aug 24 14:42:58 GMT 2022","Wed Aug 24 14:46:36 GMT 2022","218960","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:29:58 GMT 2022","135641","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong ca.cert",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:29:58 GMT 2022","135169","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong endpoint",""
"skipped","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:43 GMT 2022","0","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Create qos profile- validation of BandwidthCeilingKbps > BandwidthGuaranteedKbps",""
"failed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:57 GMT 2022","14469","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile Create validation Creates qosprofile",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:43 GMT 2022","196","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with  project name as blank",""
"failed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4481","","Hub Suite","","Hub Suite","","[It]  QosProfile tests QosProfile delete validation Delete qos profile - negative scenario",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:48 GMT 2022","5703","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Read users",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:43 GMT 2022","226","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating service accounts as combination of special characters",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4676","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is applied with service account name as blank in Write users",""
"failed","Wed Aug 24 14:46:38 GMT 2022","Wed Aug 24 14:46:38 GMT 2022","524","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Wed Aug 24 14:42:58 GMT 2022","Wed Aug 24 14:42:58 GMT 2022","961","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:43 GMT 2022","197","","Hub Suite","","Hub Suite","","[It] Project CR test Project Creation Should fail while creating Project with project name as combination of special characters",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:50 GMT 2022","7596","","Hub Suite","","Hub Suite","","[It] Project CR test Project Deletion Should fail when deleting a project that does not exist",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4507","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Read users",""
"failed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:29:54 GMT 2022","131159","","Hub Suite","","Hub Suite","","[It] Cluster CR tests Cluster CR validation Register worker cluster",""
"passed","Wed Aug 24 14:25:24 GMT 2022","Wed Aug 24 14:25:25 GMT 2022","1515","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:29:57 GMT 2022","134235","","Hub Suite","","Hub Suite","","[It] Cluster negative tests Worker Cluster Registration with Wrong token",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:48 GMT 2022","5653","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as combination of special characters in Write users",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:48 GMT 2022","5506","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should update successfully when Project Applied while removing a service account name in Write users",""
"passed","Wed Aug 24 14:27:43 GMT 2022","Wed Aug 24 14:27:47 GMT 2022","4674","","Hub Suite","","Hub Suite","","[It] Project CR test Project Update Should fail when Project is Applied with service account name as blank in Read users",""
"passed","Wed Aug 24 14:46:38 GMT 2022","Wed Aug 24 14:51:40 GMT 2022","302820","","Worker Suite","","Worker Suite","","[AfterSuite]",""
