"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 10 06:35:10 GMT 2022","Sat Sep 10 06:35:10 GMT 2022","500","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Sat Sep 10 06:28:26 GMT 2022","Sat Sep 10 06:28:27 GMT 2022","1085","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:25:42 GMT 2022","2961","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:26:26 GMT 2022","46960","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:25:41 GMT 2022","1903","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:25:40 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:25:40 GMT 2022","298","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sat Sep 10 06:35:10 GMT 2022","Sat Sep 10 06:40:12 GMT 2022","302906","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:27:34 GMT 2022","114124","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Sat Sep 10 06:25:40 GMT 2022","Sat Sep 10 06:25:40 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"failed","Sat Sep 10 06:28:26 GMT 2022","Sat Sep 10 06:35:08 GMT 2022","402524","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
