"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:41:27 GMT 2022","1339","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:41:26 GMT 2022","249","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"failed","Mon Sep 19 06:50:22 GMT 2022","Mon Sep 19 06:50:22 GMT 2022","355","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Mon Sep 19 06:43:44 GMT 2022","Mon Sep 19 06:43:45 GMT 2022","1260","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:41:26 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:41:26 GMT 2022","15","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:41:28 GMT 2022","2380","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:42:09 GMT 2022","43276","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
"passed","Mon Sep 19 06:41:26 GMT 2022","Mon Sep 19 06:42:57 GMT 2022","91244","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"failed","Mon Sep 19 06:43:44 GMT 2022","Mon Sep 19 06:50:20 GMT 2022","396464","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Mon Sep 19 06:50:22 GMT 2022","Mon Sep 19 06:55:24 GMT 2022","302985","","Worker Suite","","Worker Suite","","[AfterSuite]",""
