"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:06:01 GMT 2022","2977","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed again in the same cluster",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:05:59 GMT 2022","0","","Empty Suite","","Empty Suite","","[BeforeSuite]",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:06:30 GMT 2022","31201","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should successfully pass if Cert is installed first and then Hub",""
"failed","Sun Sep 25 11:08:23 GMT 2022","Sun Sep 25 11:08:24 GMT 2022","1324","","Istio Suite","","Istio Suite","","[AfterSuite]",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:05:59 GMT 2022","0","","Empty Suite","","Empty Suite","","[AfterSuite]",""
"failed","Sun Sep 25 11:15:22 GMT 2022","Sun Sep 25 11:15:22 GMT 2022","394","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Sun Sep 25 11:08:23 GMT 2022","Sun Sep 25 11:15:20 GMT 2022","417648","","Istio Suite","","Istio Suite","","[BeforeSuite]",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:05:59 GMT 2022","252","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Cert is installed again in the same cluster",""
"passed","Sun Sep 25 11:15:22 GMT 2022","Sun Sep 25 11:20:25 GMT 2022","303193","","Worker Suite","","Worker Suite","","[AfterSuite]",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:06:00 GMT 2022","1633","","Empty Suite","","Empty Suite","","[It] Hub Creation tests Hub Installtion Test Senarios Should fail if Hub is installed before installing Cert",""
"passed","Sun Sep 25 11:05:59 GMT 2022","Sun Sep 25 11:07:46 GMT 2022","107631","","Empty Suite","","Empty Suite","","[It] Hub Deletion tests Hub Uninstalltion Test Scenarios Should pass if project is uninstalled first and then hub",""
