"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:29 GMT 2022","2050","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have vl3 router pods running",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:28 GMT 2022","1463","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests Iperf App connectivity should have vl3 router running",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","31","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove gateway pod from spoke",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:38 GMT 2022","11598","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should create slice for valid namespace and valid clusters in applicationNamespaces of sliceconfigs manifest",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod running on attached cluster",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-client pod Should restart iperf-client pod",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:28 GMT 2022","1508","","Worker Suite","","Worker Suite","","[It] Hub netpol scenarios: Slice Configs Netpol scenarios Should fail when deploying with invalid clusters in both applicationNamespace and allowedNamespace",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Connectivity between iperf-server and iperf-client",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should install networkpolicies in all application namespaces",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","659","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation Delete qosProfile positive scenario",""
"failed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:46:05 GMT 2022","398972","","Worker Suite","","Worker Suite","","[It] NodeRestartSlice Testing node restart iperf connectivity across multi cluster",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] NetworkPolicy tests slice with netpol Should label all application namespaces with kubeslice namespace",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster from slice  when Deattach cluster from slice  should have gateway pod deleted from deattached cluster",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting iperf-server pod Check ping between iperf-server and iperf-client after iperf-server pod restart",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed install slice blue workers should get attached to slice blue",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:28 GMT 2022","1539","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with with invalid DSCP class in qosprofiledetails",""
"passed","Tue Nov 08 18:29:50 GMT 2022","Tue Nov 08 18:31:13 GMT 2022","83989","","Intracluster Suite","","Intracluster Suite","","[BeforeSuite]",""
"skipped","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:27 GMT 2022","0","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting mesh-dns pod Check ping between iperf-server and iperf-client after mesh-dns pod restart",""
"passed","Tue Nov 08 18:29:50 GMT 2022","Tue Nov 08 18:29:50 GMT 2022","90","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should label app ns with kubeslice label",""
"skipped","Tue Nov 08 18:29:50 GMT 2022","Tue Nov 08 18:29:50 GMT 2022","0","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Iperf connectivity Verify Iperf traffic",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:42:16 GMT 2022","169319","","Worker Suite","","Worker Suite","","[BeforeSuite]",""
"failed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:42:36 GMT 2022","189032","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity should onboard deployment in application Namespaces without slice annotations",""
"passed","Tue Nov 08 18:29:50 GMT 2022","Tue Nov 08 18:29:50 GMT 2022","265","","Intracluster Suite","","Intracluster Suite","","[It] Intracluster slice tests Slice with netpol should reconcile netpol in app NS",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:29 GMT 2022","2040","","Worker Suite","","Worker Suite","","[It]  QosProfile tests QosProfile delete validation should remove vl3 router from spoke",""
"passed","Tue Nov 08 18:39:27 GMT 2022","Tue Nov 08 18:39:28 GMT 2022","1211","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Update Should fail while updating sliceconfig with bandwithguaranteedkbps more than bandwidthceilingkbps in qosprofiledetailsnvalid ",""
